id,title,price,price_type,negotiable,bedrooms,bathrooms,house_size,land_size,address,city,district,description,posted_date
25980,House for Sale in Kesbewa,18500000.0,total price,False,3,2, sq ft,10.5 Perches,Kesbewa,Kesbewa,Colombo,"🌤️🌻 බණ්ඩාරගම කැස්බෑව  පාරේ පිහිටි  පර්චස් 10.5 ක ඉඩම සහිත අලංකාර නිවස 
💢නිදහස් නිස්කලංක අලංකාර  පරිසරයක පිහිටා ඇත
💢දක්ෂිණ අධිවේගී මාර්ගය ගැලණිගම පිවිසුමට වි.5
💢ප්‍රධාන පාරට 1km 
✅Perches 10.5
✅නිදන කාමර 3
✅නවීන උපාංග සහිත නාන කාමර 2
✅ආලින්දය
✅මුලුතැන්ගෙය
✅වැරැන්ඩාව
✅ප්‍රධාන පාරට 1km
✅වට තාප්ප සහ ගේට්ටු සහිත
✅බණ්ඩාරගම නගරයට අසන්නයෙන් වැඩි විස්තර දැනගැනීමට අමතන්න",2026-02-21T19:33:05.005174
25979,House for Sale in Horana,12500000.0,total price,False,3,1, sq ft,9 Perches,Horana,Horana,Kalutara,"🌤️හොරණ කොළඹ පාරට ආසන්නයෙන් කාමර 3ක් සහිත නිවස ඉතා ඉක්මනින්  විකිණීමට .🌻🌸
💢 කුඹුක හංදියට 1.5km 
💢 ජාතික පාසල්, ජාත්‍යන්තර පාසල්, සියලු පහසුකම් සහිත රෝහල් සහිත නගර කීපයකට මැදිව 
💢සියලු පහසුකම් සහිත නිදහස් නිස්කලංක අලංකාර  පරිසරයක පිහිටා ඇත
💢දක්ෂිණ අධිවේගී මාර්ගය කහතුඩුව   පිවිසුමට ආසන්නයේ
💢 පලන්නොරුව ජාතික පාසල අසල 
✅පර්ච් 9
✅නිදන කාමර 3 
✅නවීන උපාංග සහිත නාන කාමරය
✅ආලින්දය
✅නවීන උපාංග සහිත මුලුතැන් ගෙය
✅වැරැන්ඩාව
✅වට තාප්ප ගේට්ටු සහිත 
✅ Approved plan 
✅ clear deeds 
වැඩි විස්තර දැනගැනීමට අමතන්න",2026-02-21T19:31:46.974504
25978,House for Sale in Yakkala,14000000.0,total price,False,3,2, sq ft,13.8 Perches,"Yakkala, Gampaha ",Gampaha,Gampaha,"🌼🌻 Brand new luxury House for Sale in Yakkala, Gampaha 🌳🌼🌻
 💢13.8 perches 
💢Yakkala Gampaha Road 750meters to main road.
💢 1.5 Km to yakkala
💢 3.5 km to Gampaha
💢 750 meters to Ceylinco Sussex International school. 
✅13.8perches  
✅3 Bedrooms  
✅2 Bathrooms 
✅ Kitchen with pantry 
✅ Living rooms 
✅clear deeds  
✅ With gate
💢 යක්කල ගම්පහ පාරට 750m
💢යක්කල නගරයට 1.5km
💢 ගම්පහ නගරයට 3.5km 
💢සසෙක්ස් කොලේජ් එකට 750m 
💢 නිදහස් නිස්කලංක වැදගත් පරිසරයක පිහිටා ඇත.
✅පර්චස් 13.8
✅නිදන කාමර 3  
✅නවීන පන්නයේ නාන කාමර 2
✅වට තාප්ප ගේට්ටු සහිතව
✅ආලින්දය
✅ නවීන පන්නයේ මුලුතැන්ගෙය
✅සින්නක්කර ඔප්පු.",2026-02-21T19:30:44.187357
25977,House for Sale in Bandaragama,17500000.0,total price,True,3,2, sq ft,10.5 Perches,Bandaragama,Bandaragama,Kalutara,"🌤️🌻 බණ්ඩාරගම කැස්බෑව  පාරේ පිහිටි  පර්චස් 10.5 ක ඉඩම සහිත අලංකාර නිවස🌸
💢නිදහස් නිස්කලංක අලංකාර  පරිසරයක පිහිටා ඇත
💢දක්ෂිණ අධිවේගී මාර්ගය ගැලණිගම පිවිසුමට වි.10
💢ප්‍රධාන පාරට 1km 
✅Perches 10.5
✅නිදන කාමර 3
✅නවීන උපාංග සහිත නාන කාමර 2
✅ආලින්දය
✅මුලුතැන්ගෙය
✅වැරැන්ඩාව
✅ප්‍රධාන පාරට 1km
✅වට තාප්ප සහ ගේට්ටු සහිත
✅බණ්ඩාරගම නගරයට අසන්නයෙන් 
වැඩි විස්තර දැනගැනීමට අමතන්න
",2026-02-21T19:29:24.671385
25976,House for Sale in Wadduwa,35000000.0,total price,False,4,4, sq ft,10  Perches,Wadduwa,Wadduwa,Kalutara,"🌤️🌻  වාද්දූව මොල්ලිගොඩ කොළඹ පාරට ඇවිදින දුරින් පිහිටි පර්ච් 10ක අලංකාර නව නිවස
🛣️ ගාලු පාරට 150m 
💢නිදහස් නිස්කලංක අලංකාර  පරිසරයක පිහිටා ඇත
💢 වාහන නැවැත්වීමේ පහසුකම් සහිතයි 
✅පර්ච් 10 
✅නිදන කාමර 4
✅නවීන උපාංග සහිත නාන කාමර 4
✅ආලින්දය
✅නවීන උපාංග සහිත  මුලුතැන් ගෙය
✅වැරැන්ඩාව
✅වට තාප්ප ගේට්ටු සහත
✅ clear deeds
✅ Servant room and toilet 
වැඩි විස්තර දැනගැනීමට අමතන්න",2026-02-21T19:28:19.876101
25974,House for Sale in Bandaragama,27500000.0,total price,False,5,2, sq ft,8.5  Perches,Bandaragama,Bandaragama,Kalutara,"Luxury 𝐇𝐎𝐔𝐒𝐄  𝐅𝐎𝐑
 𝐒𝐀𝐋𝐄 in   Bandaragama near Nakano International school . ****************************************** *****
✅  𝐇𝐨𝐮𝐬𝐞 𝐈𝐧
 🛑 8.5 𝐏𝐞𝐫𝐜𝐡𝐞𝐬
 🛑 5 𝐁𝐞𝐝𝐫𝐨𝐨𝐦𝐬(
       attach bathroom)
 🛑   2 𝐁𝐚𝐭𝐡𝐫𝐨𝐨𝐦𝐬 / 𝐇𝐨𝐭 
        𝐖𝐚𝐭𝐞𝐫
 🛑 *𝐋𝐚𝐫𝐠𝐞 𝐋𝐢𝐯𝐢𝐧𝐠*  *&* 
        *dining  area* 
 🛑 *𝐊𝐢𝐭𝐜𝐡𝐞𝐧* *with* 
         *modern pantry* 
 🛑 20 𝐅𝐞𝐞𝐭 𝐖𝐢𝐝𝐞 𝐑𝐨𝐚𝐝
 🛑 2 vehicles parkin
       Space  🚘
 🛑𝐀𝐩𝐩𝐫𝐨𝐯𝐞𝐝 𝐏𝐥𝐚𝐧𝐬
 🛑𝐂𝐎𝐂 𝐀𝐯𝐚𝐢𝐥𝐚𝐛𝐥𝐞
 🛑𝐂𝐂𝐓𝐕 𝐒𝐲𝐬𝐭𝐞𝐦 
 🛑𝐂𝐥𝐞𝐚𝐫 𝐃𝐞𝐞d
✅ Private and public schools, hospitals, supermarkets, gas stations, and banks are within a 5 -minute
✅It is 5 minutes from the Gelanigama  Highway  entrance.
",2026-02-21T19:20:38.841598
25969,House for Sale in Ragama,15500000.0,total price,True,3,1, sq ft,10.5 Perches,"Ragama, Peralanda ",all,Colombo,"Ragama, Peralanda (රාගම_ පේරලන්ද )
House For Sale 
purch 10.5
Room 03
Bathroom 01
1.2km Kadana Town 
2km Ragama Town
300m Bus Road
",2026-02-21T19:13:20.733142
25966,House for Sale in Dehiwala,75000000.0,total price,False,4,2,2850  sq ft, Perches,Dehiwala,Dehiwala,Colombo,"✅ Walking distance to:  
Schools | Hospitals | Temple | Mosque | Food City | Keells
✨ Property Highlights:
• 3 Storeys + Rooftop Garden
• ⁠Space: 2,850 sq. ft. total + Rooftop Garden.
• Total 4 Bedrooms (All A/C)  
• All Bedrooms with Attached Bathrooms (Hot Water)  
• 2 Kitchens  
• 3 Spacious Living Areas  
• Parking Available  
🌿 Floor Breakdown:
🔹 Ground Floor
• 1 A/C Bedroom with Attached Bathroom (Hot Water)  
• Large Living Area  
• Kitchen  
• Parking Space  
🔹 1st Floor
• 2 A/C Bedrooms with Attached Bathrooms (Hot Water)  
• Spacious Living Area  
🔹 2nd Floor
• 1 A/C Bedroom with Attached Bathroom  
• Large Living Area  
• Kitchen  
🔹 3rd Floor
• Rooftop Garden 🌿  
• Solar Panel System ☀️  
⚡ Fully Solar Powered – Enjoy Zero Electricity Bills
(Negotiable after inspection)",2026-02-21T19:10:15.869213
25965,House for Sale in Athurugiriya,15500000.0,total price,False,1,1, sq ft,15 Perches,Athurugiriya,all,Colombo,"🏠️Athurugiriya House and 15 perches land for sale
15 perch land and house for sale.
Sale for land value 
Location- Oruwala vidyala mawatha
600 m to mean road 
",2026-02-21T19:08:03.129103
25964,House for Sale in Borella ,110000000.0,total price,False,4,3,3200  sq ft,9.7  Perches,Borella ,all,Colombo,"🏠️Two storye house for sale Borella 
9.7 perches
3200 sq feet
4 room
3 bath room
Servants room servants kitchen and servants toilet 
Family room
Sitting dining
Laundry room and balcony 
Close to admit to schools
Ananda college 1km
Carey college 300 meters
Gothami. 1km
Ananda balika 1.5km
Sangamitta 500 meters 
Yasodara. 500 meters 
Zahira 1.5km
Nalanda. 1.5km
Kannangara 1km
All saints balika 1km
Meuseus. 1.5km
St Bridget’s 2km
St Joseph’s 2km
Ananda sastralaya 1.5km",2026-02-21T19:06:53.894145
