price,negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches
18500000.0,0,3,2,82,4,2850.0,10.5
12500000.0,0,3,1,62,9,2850.0,9.0
14000000.0,0,3,2,50,6,2850.0,13.8
17500000.0,1,3,2,13,9,2850.0,10.5
35000000.0,0,4,4,155,9,2850.0,10.0
27500000.0,0,5,2,13,9,2850.0,8.5
15500000.0,1,3,1,166,4,2850.0,10.5
75000000.0,0,4,2,41,4,2850.0,11.0
15500000.0,0,1,1,166,4,2850.0,15.0
110000000.0,0,4,3,166,4,3200.0,9.7
26000000.0,1,4,3,166,4,2080.0,10.4
9000000.0,0,4,1,48,5,2850.0,15.0
8900000.0,1,2,1,51,10,2850.0,9.5
97500000.0,0,5,4,166,4,4000.0,22.0
150000000.0,0,4,2,25,4,2850.0,11.0
28500000.0,0,5,3,13,9,2850.0,20.0
9000000.0,0,3,2,155,9,2850.0,13.0
22000000.0,0,1,1,62,9,2850.0,150.0
46500000.0,1,5,3,73,9,2850.0,13.5
35000000.0,0,4,3,73,9,2850.0,6.0
10000000.0,0,2,1,13,9,2850.0,11.0
33000000.0,1,3,4,166,4,2000.0,2.5
2700000.0,0,1,1,22,16,2850.0,65.0
6000000.0,0,1,1,163,16,2850.0,80.0
2800000.0,0,1,1,153,23,2850.0,2.0
3800000.0,0,3,1,97,2,2850.0,54.0
1600000.0,1,3,1,97,2,2850.0,1.0
1000000.0,1,2,1,97,2,2850.0,40.0
78000000.0,0,3,1,166,4,2850.0,1.0
6500000.0,0,1,1,62,9,2850.0,20.0
32500000.0,0,5,1,62,9,2850.0,10.0
6500000.0,0,5,2,76,10,3224.75,11.0
17500000.0,0,5,2,66,6,2850.0,12.5
2600000.0,0,1,1,64,6,2850.0,12.5
45000000.0,1,5,3,50,6,2850.0,10.5
71400000.0,0,1,1,114,13,2850.0,238.0
50000000.0,0,1,1,58,4,2850.0,35.0
16500000.0,0,3,1,62,9,2850.0,10.0
11000000.0,0,4,1,9,4,2850.0,3.0
14000000.0,0,1,1,9,4,2850.0,20.0
8000000.0,0,1,1,119,6,2850.0,35.0
15500000.0,0,3,1,96,4,1120.0,7.0
280000000.0,1,3,2,166,4,2850.0,7.0
3800000.0,0,3,2,8,4,2000.0,7.0
14500000.0,1,3,2,8,4,2850.0,10.0
16500000.0,0,3,1,166,4,2850.0,10.0
19000000.0,0,3,2,8,4,2850.0,7.03
14000000.0,0,3,1,166,4,2850.0,7.0
24000000.0,0,3,2,166,4,1200.0,6.7
14175000.0,0,2,1,166,4,1700.0,16.2
13500000.0,0,3,1,69,4,2850.0,10.0
270000000.0,0,5,5,166,4,10000.0,17.0
16000000.0,0,4,2,166,4,2850.0,12.0
8000000.0,0,1,1,53,13,2850.0,80.0
42500000.0,0,1,1,114,13,2850.0,6.0
7000000.0,0,3,1,119,6,2850.0,12.0
37500000.0,0,4,2,92,13,2850.0,10.0
12000000.0,0,4,2,92,13,2850.0,15.0
25000000.0,0,5,2,92,13,2850.0,16.0
20000000.0,1,3,1,19,6,2850.0,15.0
35000000.0,0,7,2,92,13,2850.0,164.0
27000000.0,0,5,2,92,13,2850.0,20.0
5900000.0,1,3,1,92,13,2850.0,15.0
5550000.0,1,3,1,107,1,2850.0,1.0
8750000.0,1,4,1,107,1,2850.0,70.0
13500000.0,0,3,1,132,10,2850.0,1.0
45000000.0,0,8,2,113,4,2850.0,13.0
28500000.0,0,4,1,48,5,2850.0,22.5
6000000.0,1,2,1,50,6,2850.0,9.0
75000000.0,1,5,2,50,6,3727.0,22.5
14000000.0,0,5,1,66,6,2850.0,20.0
8200000.0,1,2,1,66,6,2850.0,11.0
27500000.0,0,4,2,138,6,2850.0,19.0
19500000.0,0,3,1,84,6,2850.0,8.0
15000000.0,0,2,1,66,6,2850.0,19.0
27500000.0,1,4,2,66,6,2850.0,19.0
13000000.0,1,3,1,66,6,2850.0,12.5
24500000.0,0,4,2,166,4,2850.0,8.0
56000000.0,0,1,1,50,6,2850.0,5.0
11200000.0,0,3,1,66,6,2850.0,15.0
34000000.0,0,5,2,48,5,2850.0,298.0
18500000.0,0,1,1,166,4,2850.0,11.5
16000000.0,0,1,1,166,4,2850.0,4.0
15800000.0,0,3,2,76,10,2850.0,6.0
16500000.0,0,2,1,76,10,2850.0,5.0
8800000.0,0,3,1,166,17,2850.0,24.0
12800000.0,0,3,2,76,10,2850.0,12.0
35000000.0,1,4,3,166,4,2600.0,12.5
58000000.0,1,5,4,166,4,2850.0,12.3
702000000.0,0,1,1,166,4,2850.0,23.4
17500000.0,1,3,2,166,4,2850.0,7.0
19800000.0,0,2,1,50,6,2850.0,34.8
12500000.0,0,2,1,76,10,2800.0,20.0
18500000.0,0,1,1,73,9,2570.0,47.04
26900000.0,1,4,2,166,4,2850.0,15.0
13500000.0,1,4,2,50,6,2850.0,8.0
11000000.0,0,4,3,166,4,1500.0,10.0
40000000.0,1,5,4,50,6,2850.0,30.0
34500000.0,0,3,3,166,4,2100.0,7.0
30000000.0,1,4,3,50,6,2100.0,10.0
22000000.0,1,3,2,166,4,2000.0,10.0
28500000.0,1,4,2,166,4,2644.0,12.49
27000000.0,0,2,1,48,5,2380.0,10.0
11000000.0,1,2,2,73,9,2850.0,10.0
34000000.0,1,6,3,166,4,4000.0,17.75
24000000.0,1,5,2,166,4,2500.0,10.0
24000000.0,0,3,2,166,4,2850.0,7.0
32500000.0,1,5,3,166,4,3000.0,7.5
39700000.0,1,5,2,89,4,2414.0,13.24
38500000.0,0,3,2,166,4,2850.0,7.0
32500000.0,0,3,2,166,4,1600.0,24.4
28000000.0,0,3,3,166,4,2850.0,8.4
31000000.0,0,1,1,166,4,2850.0,18.0
