negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches,total_rooms,bath_bed_ratio,sqft_per_bedroom,land_utilization,is_large_house,is_large_land,price
0,3,1,166,6,2850.0,15.0,4,0.3333333333333333,950.0,0.6978879706152433,0,1,19000000.0
1,4,4,35,4,5000.0,9.0,8,1.0,1250.0,2.0406081012141617,1,0,285000000.0
0,3,1,50,6,2850.0,10.0,4,0.3333333333333333,950.0,1.046831955922865,0,0,7500000.0
0,2,1,50,6,2850.0,7.0,3,0.5,1425.0,1.49547422274695,0,0,4940000.0
0,3,1,47,11,2850.0,14.0,4,0.3333333333333333,950.0,0.747737111373475,0,1,4300000.0
0,6,5,61,4,8000.0,60.0,11,0.8333333333333334,1333.3333333333333,0.48974594429139884,1,1,180000000.0
1,3,2,166,4,1800.0,11.5,5,0.6666666666666666,600.0,0.5749191519942508,0,1,15000000.0
0,3,1,83,12,2850.0,4.0,4,0.3333333333333333,950.0,2.6170798898071626,0,0,10500000.0
0,5,3,76,10,2850.0,8.8,8,0.6,570.0,1.1895817680941647,0,0,19500000.0
0,1,1,8,4,2850.0,25.0,2,1.0,2850.0,0.418732782369146,0,1,18500000.0
0,3,1,109,6,2850.0,10.0,4,0.3333333333333333,950.0,1.046831955922865,0,0,110000000.0
1,3,2,166,4,1650.0,9.5,5,0.6666666666666666,550.0,0.6379585326953748,0,0,28800000.0
0,1,1,76,10,2850.0,13.0,2,1.0,2850.0,0.8052553507098962,0,1,12000000.0
0,2,1,109,6,2850.0,10.0,3,0.5,1425.0,1.046831955922865,0,0,2550000.0
0,2,1,61,4,2850.0,6.0,3,0.5,1425.0,1.7447199265381084,0,0,5500000.0
1,3,2,126,9,2850.0,10.0,5,0.6666666666666666,950.0,1.046831955922865,0,0,9000000.0
0,4,2,76,10,2850.0,5.0,6,0.5,712.5,2.09366391184573,0,0,60000000.0
0,4,2,166,4,2850.0,15.0,6,0.5,712.5,0.6978879706152433,0,1,50000000.0
1,3,1,166,4,2850.0,6.6,4,0.3333333333333333,950.0,1.586109024125553,0,0,13000000.0
1,3,2,166,4,2850.0,15.3,5,0.6666666666666666,950.0,0.6842038927600425,0,1,21000000.0
1,3,2,52,6,2850.0,13.5,5,0.6666666666666666,950.0,0.7754310784613815,0,1,15000000.0
0,4,4,89,4,2250.0,8.0,8,1.0,562.5,1.0330578512396693,0,0,33000000.0
0,3,1,8,4,2850.0,9.0,4,0.3333333333333333,950.0,1.1631466176920722,0,0,19500000.0
1,5,3,166,4,3287.0,11.2,8,0.6,657.4,1.0779876688967598,1,1,55000000.0
1,4,5,166,4,2850.0,6.0,9,1.25,712.5,1.7447199265381084,0,0,59000000.0
1,4,4,166,4,2950.0,9.16,8,1.0,737.5,1.1829289320357204,1,0,44000000.0
0,3,2,166,4,1300.0,8.0,5,0.6666666666666666,433.3333333333333,0.5968778696051423,0,0,35000000.0
0,4,2,25,4,2850.0,11.0,6,0.5,712.5,0.9516654144753318,0,0,150000000.0
1,4,1,76,10,2850.0,10.0,5,0.25,712.5,1.046831955922865,0,0,9800000.0
1,5,4,166,4,3509.0,23.7,9,0.8,701.8,0.543834974214721,1,1,98400000.0
1,6,3,166,4,2100.0,18.0,9,0.5,350.0,0.42852770125497397,0,1,52500000.0
0,4,2,166,4,2850.0,8.5,6,0.5,712.5,1.2315670069680764,0,0,45000000.0
0,6,4,81,6,2850.0,32.0,10,0.6666666666666666,475.0,0.3271349862258953,0,1,55000000.0
0,3,2,166,6,1100.0,11.0,5,0.6666666666666666,366.6666666666667,0.3673094582185491,0,0,25000000.0
0,2,1,133,4,2850.0,7.0,3,0.5,1425.0,1.49547422274695,0,0,6500000.0
0,2,1,130,20,2850.0,60.0,3,0.5,1425.0,0.17447199265381083,0,1,6500000.0
0,4,1,104,13,2850.0,34.0,5,0.25,712.5,0.3078917517420191,0,1,7250000.0
1,2,1,1,15,2850.0,9.0,3,0.5,1425.0,1.1631466176920722,0,0,2800000.0
0,3,2,157,6,2000.0,6.75,5,0.6666666666666666,666.6666666666666,1.088324320647553,0,0,37000000.0
1,2,1,126,9,2850.0,7.5,3,0.5,1425.0,1.3957759412304866,0,0,5000000.0
1,3,1,114,13,2850.0,15.0,4,0.3333333333333333,950.0,0.6978879706152433,0,1,7300000.0
0,3,1,166,4,2850.0,12.0,4,0.3333333333333333,950.0,0.8723599632690542,0,1,13000000.0
0,2,1,13,9,2850.0,15.0,3,0.5,1425.0,0.6978879706152433,0,1,10000000.0
0,4,2,166,4,2850.0,5.16,6,0.5,712.5,2.0287441006257074,0,0,28000000.0
0,3,1,75,6,2850.0,15.0,4,0.3333333333333333,950.0,0.6978879706152433,0,1,12500000.0
0,3,2,166,4,2850.0,12.0,5,0.6666666666666666,950.0,0.8723599632690542,0,1,26500000.0
0,3,1,155,9,2850.0,10.5,4,0.3333333333333333,950.0,0.9969828151646334,0,0,8800000.0
1,3,1,50,6,1200.0,30.0,4,0.3333333333333333,400.0,0.14692378328741965,0,1,18000000.0
0,2,1,106,13,2850.0,52.0,3,0.5,1425.0,0.20131383767747404,0,1,5500000.0
0,2,1,100,14,2850.0,30.0,3,0.5,1425.0,0.34894398530762166,0,1,7500000.0
0,1,1,166,4,2850.0,3.0,2,1.0,2850.0,3.4894398530762167,0,0,11500000.0
0,5,3,166,4,3800.0,7.98,8,0.6,760.0,1.749092658183567,1,0,42000000.0
1,2,1,112,16,2850.0,20.0,3,0.5,1425.0,0.5234159779614325,0,1,2200000.0
1,2,2,126,9,2850.0,7.0,4,1.0,1425.0,1.49547422274695,0,0,12500000.0
1,2,1,73,9,2850.0,10.2,3,0.5,1425.0,1.026305839140064,0,0,6500000.0
1,2,1,50,6,2850.0,10.0,3,0.5,1425.0,1.046831955922865,0,0,15000000.0
1,5,4,41,4,3500.0,16.7,9,0.8,700.0,0.7698102417754024,1,1,100000000.0
0,1,1,92,13,2850.0,11.0,2,1.0,2850.0,0.9516654144753318,0,0,20000000.0
1,2,1,166,6,2850.0,17.0,3,0.5,1425.0,0.6157835034840382,0,1,4700000.0
1,5,3,76,10,2850.0,4.5,8,0.6,570.0,2.3262932353841443,0,0,50000000.0
1,3,2,133,4,2850.0,12.65,5,0.6666666666666666,950.0,0.8275351430220277,0,1,23000000.0
0,1,1,162,4,2850.0,3.8,2,1.0,2850.0,2.7548209366391188,0,0,7000000.0
0,3,1,97,2,2850.0,54.0,4,0.3333333333333333,950.0,0.19385776961534537,0,1,3800000.0
0,1,1,76,10,2850.0,23.2,2,1.0,2850.0,0.45122067065640736,0,1,45000000.0
1,6,6,166,4,2850.0,10.0,12,1.0,475.0,1.046831955922865,0,0,40000000.0
0,4,1,61,4,2850.0,10.0,5,0.25,712.5,1.046831955922865,0,0,13500000.0
1,1,1,138,6,2850.0,11.0,2,1.0,2850.0,0.9516654144753318,0,0,11000000.0
0,3,1,65,8,2850.0,2.0,4,0.3333333333333333,950.0,5.234159779614325,0,0,16000000.0
1,3,2,166,4,2850.0,14.0,5,0.6666666666666666,950.0,0.747737111373475,0,1,31000000.0
1,2,1,8,4,2850.0,6.9,3,0.5,1425.0,1.5171477622070506,0,0,14000000.0
1,3,3,166,4,2350.0,9.9,6,1.0,783.3333333333334,0.8718961887005964,0,0,62000000.0
1,4,2,76,10,2850.0,20.0,6,0.5,712.5,0.5234159779614325,0,1,8800000.0
0,3,1,138,6,2850.0,20.0,4,0.3333333333333333,950.0,0.5234159779614325,0,1,18500000.0
0,3,2,110,6,2850.0,22.0,5,0.6666666666666666,950.0,0.4758327072376659,0,1,14000000.0
0,2,1,92,13,2850.0,22.0,3,0.5,1425.0,0.4758327072376659,0,1,1950000.0
0,2,1,166,4,1200.0,6.9,3,0.5,600.0,0.6387990577713898,0,0,39500000.0
0,4,3,33,4,2800.0,9.5,7,0.75,700.0,1.0825962979073027,0,0,150000000.0
0,5,4,31,4,4000.0,12.8,9,0.8,800.0,1.147842056932966,1,1,265000000.0
0,3,1,110,6,2850.0,12.5,4,0.3333333333333333,950.0,0.837465564738292,0,1,2800000.0
0,6,3,50,6,2850.0,12.0,9,0.5,475.0,0.8723599632690542,0,1,40000000.0
1,5,3,147,4,40000.0,8.0,8,0.6,8000.0,18.365472910927455,1,0,46000000.0
0,3,2,133,4,2850.0,10.0,5,0.6666666666666666,950.0,1.046831955922865,0,0,21000000.0
1,5,2,119,6,3000.0,18.0,7,0.4,600.0,0.6121824303642486,1,1,18500000.0
1,4,2,13,9,2850.0,11.5,6,0.5,712.5,0.9102886573242305,0,1,27500000.0
0,6,3,50,6,2850.0,17.9,9,0.5,475.0,0.5848223217446173,0,1,39800000.0
1,2,1,66,6,2850.0,10.0,3,0.5,1425.0,1.046831955922865,0,0,7800000.0
0,4,1,166,6,2850.0,10.75,5,0.25,712.5,0.9737971683003396,0,0,37500000.0
1,4,2,50,6,2850.0,12.0,6,0.5,712.5,0.8723599632690542,0,1,75000000.0
1,2,1,133,4,1100.0,6.5,3,0.5,550.0,0.6216006216006216,0,0,16500000.0
1,3,1,166,9,2850.0,8.0,4,0.3333333333333333,950.0,1.3085399449035813,0,0,8000000.0
0,5,2,50,6,2850.0,15.0,7,0.4,570.0,0.6978879706152433,0,1,16000000.0
0,3,1,109,6,2850.0,12.75,4,0.3333333333333333,950.0,0.8210446713120509,0,1,10700000.0
0,2,2,20,4,3163.0,10.0,4,1.0,1581.5,1.161799816345271,1,0,46500000.0
1,6,2,166,4,3500.0,11.0,8,0.3333333333333333,583.3333333333334,1.1687119125135654,1,0,62000000.0
1,4,3,166,4,2500.0,12.0,7,0.75,625.0,0.7652280379553107,0,1,43500000.0
0,3,1,61,4,2850.0,11.78,4,0.3333333333333333,950.0,0.888651915044877,0,1,10000000.0
0,3,1,166,4,1050.0,6.0,4,0.3333333333333333,350.0,0.642791551882461,0,0,15000000.0
1,3,1,50,6,2850.0,15.0,4,0.3333333333333333,950.0,0.6978879706152433,0,1,4200000.0
1,5,4,147,4,2850.0,8.0,9,0.8,570.0,1.3085399449035813,0,0,38500000.0
1,4,3,166,4,2850.0,19.52,7,0.75,712.5,0.5362868626654022,0,1,300000000.0
0,8,5,33,4,2850.0,8.3,13,0.625,356.25,1.261243320388994,0,0,90000000.0
1,1,2,133,4,2850.0,6.3,3,2.0,2850.0,1.661638025274389,0,0,13500000.0
